epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.964,1.60364,3.16422,1.89134,0.40264,0.20556,0.15209,0.06477,1.9011,2.97269,2.25163,0.000184659,0.000184659,0.000184659
2,412.193,1.63748,2.62712,1.87859,0.40429,0.20341,0.16242,0.06944,1.91954,2.93763,2.31784,0.00036633,0.00036633,0.00036633
3,620.172,1.65967,2.58897,1.88602,0.35974,0.23927,0.18026,0.08131,1.92516,2.72233,2.27109,0.000544331,0.000544331,0.000544331
4,827.506,1.66472,2.55136,1.88702,0.39892,0.3438,0.27416,0.13386,1.82032,2.34044,2.19276,0.000539487,0.000539487,0.000539487
5,1035.46,1.62788,2.39919,1.84218,0.47823,0.30479,0.30798,0.14631,1.87766,2.30222,2.16895,0.000533982,0.000533982,0.000533982
6,1243.09,1.56775,2.28374,1.79249,0.45707,0.39606,0.37004,0.18762,1.75135,2.09023,2.07783,0.000528478,0.000528478,0.000528478
7,1450.16,1.55548,2.15466,1.77991,0.51113,0.41019,0.39666,0.19385,1.80343,1.98849,2.09018,0.000522974,0.000522974,0.000522974
8,1657.44,1.5196,2.09954,1.75405,0.53799,0.42791,0.44701,0.23855,1.67724,1.8079,2.0016,0.000517469,0.000517469,0.000517469
9,1864.82,1.49161,2.02509,1.73602,0.60129,0.45121,0.47212,0.24802,1.68981,1.77463,2.02092,0.000511965,0.000511965,0.000511965
10,2072.24,1.47758,1.96188,1.71334,0.54495,0.49324,0.51138,0.2779,1.62778,1.70172,1.94506,0.00050646,0.00050646,0.00050646
11,2279.53,1.45786,1.8869,1.69517,0.59602,0.51659,0.54532,0.28885,1.63821,1.62225,1.96836,0.000500956,0.000500956,0.000500956
12,2487.16,1.43415,1.82045,1.67292,0.59056,0.5488,0.56477,0.30906,1.59785,1.58281,1.90729,0.000495452,0.000495452,0.000495452
13,2694.9,1.42113,1.77103,1.66061,0.59683,0.54512,0.56117,0.31256,1.60592,1.54994,1.89706,0.000489947,0.000489947,0.000489947
