epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3426,1.67117,4.20056,1.89792,0.30739,0.2644,0.15759,0.07273,1.83464,3.18983,2.18303,0.000183423,0.000183423,0.000183423
2,177.76,1.56301,2.48791,1.75951,0.23904,0.25776,0.12121,0.04897,2.10209,3.70581,2.3695,0.000365105,0.000365105,0.000365105
3,266.048,1.61473,2.41096,1.79561,0.37385,0.14841,0.11465,0.0488,2.09341,3.41885,2.58766,0.000543118,0.000543118,0.000543118
4,355.594,1.60916,2.33088,1.7881,0.37956,0.29957,0.25421,0.11226,1.961,2.47767,2.23358,0.000539487,0.000539487,0.000539487
5,445.993,1.56619,2.18086,1.74811,0.43803,0.3512,0.32836,0.15621,1.83626,2.18828,2.10372,0.000533982,0.000533982,0.000533982
6,536.667,1.53612,2.07538,1.7239,0.45524,0.38539,0.36815,0.17065,1.85868,2.09482,2.13539,0.000528478,0.000528478,0.000528478
7,627.534,1.50503,1.96261,1.69835,0.50114,0.43075,0.42643,0.21104,1.80142,1.93545,2.07652,0.000522974,0.000522974,0.000522974
8,718.622,1.4723,1.879,1.67076,0.52517,0.4494,0.47753,0.24537,1.75589,1.79451,2.01578,0.000517469,0.000517469,0.000517469
9,809.522,1.46052,1.82182,1.66442,0.50376,0.48878,0.47886,0.25707,1.68958,1.74672,1.96979,0.000511965,0.000511965,0.000511965
10,900.472,1.42555,1.76101,1.62675,0.50869,0.5116,0.49903,0.25874,1.77304,1.73286,1.97555,0.00050646,0.00050646,0.00050646
11,991.298,1.42825,1.70152,1.62016,0.53547,0.51661,0.53351,0.27996,1.66918,1.66629,1.94743,0.000500956,0.000500956,0.000500956
12,1082.41,1.39307,1.67249,1.61426,0.57535,0.56648,0.57896,0.32396,1.62569,1.54702,1.88132,0.000495452,0.000495452,0.000495452
13,1173.29,1.36842,1.59362,1.58033,0.65813,0.49182,0.55497,0.3097,1.59514,1.58045,1.87106,0.000489947,0.000489947,0.000489947
14,1264.33,1.33851,1.52307,1.5517,0.62234,0.54934,0.57999,0.31076,1.63559,1.56739,1.89584,0.000484443,0.000484443,0.000484443
15,1355.29,1.33692,1.5295,1.55875,0.60921,0.54412,0.55679,0.2985,1.70166,1.60317,2.01025,0.000478938,0.000478938,0.000478938
16,1446.43,1.31101,1.47916,1.54007,0.64992,0.58015,0.62912,0.35525,1.56867,1.40641,1.82311,0.000473434,0.000473434,0.000473434
17,1537.19,1.29944,1.42547,1.5281,0.64887,0.58557,0.63232,0.3508,1.6034,1.39745,1.85729,0.00046793,0.00046793,0.00046793
18,1627.91,1.28578,1.41837,1.51915,0.70199,0.57779,0.65414,0.38244,1.52556,1.29998,1.79619,0.000462425,0.000462425,0.000462425
19,1718.7,1.25448,1.3654,1.4925,0.78376,0.55919,0.66162,0.38375,1.54027,1.33365,1.80341,0.000456921,0.000456921,0.000456921
20,1809.41,1.22928,1.31976,1.47654,0.71551,0.56088,0.65773,0.37891,1.5174,1.28587,1.79626,0.000451416,0.000451416,0.000451416
21,1899.98,1.21948,1.29225,1.46046,0.71184,0.6128,0.67837,0.39797,1.48881,1.22356,1.75452,0.000445912,0.000445912,0.000445912
22,1990.88,1.20974,1.27869,1.4618,0.711,0.62354,0.68067,0.40327,1.50824,1.23936,1.75469,0.000440408,0.000440408,0.000440408
23,2081.67,1.1802,1.25142,1.44955,0.69061,0.63038,0.68288,0.40738,1.47799,1.23102,1.7692,0.000434903,0.000434903,0.000434903
24,2172.4,1.17503,1.23383,1.43438,0.72568,0.62356,0.69071,0.41514,1.43515,1.17674,1.70985,0.000429399,0.000429399,0.000429399
25,2263.15,1.16154,1.19636,1.41659,0.74106,0.63591,0.71321,0.43544,1.43218,1.17664,1.71218,0.000423894,0.000423894,0.000423894
26,2353.9,1.14653,1.17003,1.40909,0.74418,0.64377,0.71718,0.45286,1.37951,1.13438,1.6705,0.00041839,0.00041839,0.00041839
27,2444.53,1.1378,1.14357,1.40067,0.76411,0.62446,0.72521,0.44636,1.4141,1.14871,1.70096,0.000412886,0.000412886,0.000412886
28,2535.02,1.11552,1.11871,1.38396,0.74706,0.68332,0.7334,0.4577,1.37827,1.0813,1.67022,0.000407381,0.000407381,0.000407381
29,2625.71,1.10289,1.10208,1.37888,0.74924,0.65151,0.73786,0.45947,1.36645,1.10112,1.64589,0.000401877,0.000401877,0.000401877
30,2716.38,1.07205,1.06353,1.35315,0.76525,0.69095,0.75376,0.48482,1.3513,1.04009,1.64013,0.000396372,0.000396372,0.000396372
31,2806.8,1.08068,1.05842,1.35915,0.80706,0.64635,0.74614,0.48255,1.33138,1.10691,1.6276,0.000390868,0.000390868,0.000390868
32,2897.19,1.05261,1.03402,1.33802,0.81313,0.66585,0.7534,0.49269,1.31585,1.05852,1.60835,0.000385364,0.000385364,0.000385364
33,2987.86,1.04194,1.01875,1.33008,0.82788,0.68279,0.77413,0.50546,1.29107,0.98263,1.60303,0.000379859,0.000379859,0.000379859
34,3078.64,1.03175,0.98364,1.32291,0.80434,0.67926,0.77235,0.51956,1.26511,0.96691,1.56961,0.000374355,0.000374355,0.000374355
35,3169.08,1.00907,0.96297,1.3038,0.81048,0.68136,0.76634,0.50573,1.30988,1.00415,1.59876,0.00036885,0.00036885,0.00036885
